grid_gid,epdo_total,is_high_risk,risk_prob,predicted_risk
다사687464,18.0,0,0.3932,0
다사742486,85.0,1,0.5408,1
다사689464,32.0,0,0.2603,0
다사719525,79.0,1,0.744,1
다사726517,32.0,0,0.744,1
다사590129,32.0,0,0.1879,0
다사528132,93.0,1,0.7762,1
다사316132,25.0,0,0.5626,1
다사480036,93.0,1,0.196,0
다사612126,93.0,1,0.5025,1
다사570119,93.0,1,0.6571,1
다사478021,32.0,0,0.5706,1
다사501103,86.0,1,0.6888,1
다사455079,32.0,0,0.6888,1
다사610153,23.0,0,0.2073,0
다사663061,25.0,0,0.4858,0
다사634123,24.0,0,0.5825,1
다사635114,32.0,0,0.5561,1
다사614149,28.0,0,0.6888,1
다사633074,86.0,1,0.6888,1
다사604126,93.0,1,0.6888,1
다사628107,22.0,0,0.5706,1
다사616147,93.0,1,0.5723,1
다사633082,24.0,0,0.6994,1
다사477042,32.0,0,0.72,1
다사588122,154.0,1,0.5183,1
다사621121,154.0,1,0.7083,1
다사636123,30.0,0,0.1984,0
다사651123,93.0,1,0.6383,1
다사479029,154.0,1,0.196,0
다사612127,25.0,0,0.2464,0
다사545142,30.0,0,0.6888,1
다사614126,93.0,1,0.5408,1
다사612140,30.0,0,0.4508,0
다사512162,25.0,0,0.5266,1
다사602147,93.0,1,0.2803,0
다사656063,30.0,0,0.1984,0
다사596123,23.0,0,0.3535,0
다사661080,89.0,1,0.5561,1
다사666059,30.0,0,0.6888,1
다사648123,85.0,1,0.6567,1
다사611120,30.0,0,0.6138,1
다사641092,17.0,0,0.6888,1
다사597144,32.0,0,0.3935,0
다사474038,22.0,0,0.3872,0
다사473038,91.0,1,0.721,1
다사598131,93.0,1,0.5675,1
다사634118,32.0,0,0.7629,1
다사588129,84.0,1,0.4891,0
다사583123,91.0,1,0.6896,1
다사665094,84.0,1,0.6888,1
다사590116,22.0,0,0.254,0
다사594126,16.0,0,0.6151,1
다사648068,86.0,1,0.772,1
다사368117,93.0,1,0.5125,1
다사513132,32.0,0,0.6208,1
다사584127,32.0,0,0.6888,1
다사621118,93.0,1,0.6933,1
다사599124,30.0,0,0.5987,1
다사627132,215.0,1,0.7582,1
다사615151,25.0,0,0.6516,1
다사595126,154.0,1,0.5561,1
다사633083,25.0,0,0.6888,1
다바377940,32.0,0,0.7789,1
다사537129,91.0,1,0.7582,1
다사641117,93.0,1,0.6888,1
다사625133,32.0,0,0.4844,0
다사650123,32.0,0,0.2595,0
다사449048,32.0,0,0.6888,1
다사620142,30.0,0,0.4844,0
다사655279,24.0,0,0.2968,0
다사648276,24.0,0,0.6888,1
다사663341,85.0,1,0.4031,0
다사668303,85.0,1,0.6888,1
다사648330,17.0,0,0.4173,0
다사680308,24.0,0,0.6888,1
다사648304,146.0,1,0.6888,1
다사672350,17.0,0,0.4173,0
다사648288,17.0,0,0.6888,1
다사664316,85.0,1,0.7794,1
다사671340,24.0,0,0.2476,0
다사671333,24.0,0,0.3987,0
다사663280,146.0,1,0.5408,1
다사670329,85.0,1,0.6888,1
다사654312,24.0,0,0.6888,1
다사648301,24.0,0,0.6888,1
다사655326,85.0,1,0.4211,0
다사649294,15.0,0,0.2476,0
다사620303,85.0,1,0.3607,0
다사658293,22.0,0,0.5431,1
다사647288,17.0,0,0.5408,1
다사662284,24.0,0,0.6888,1
다사669345,83.0,1,0.7115,1
다사654278,83.0,1,0.4096,0
다사662289,24.0,0,0.2476,0
다사660312,144.0,1,0.4844,0
다사664325,24.0,0,0.5408,1
다사653268,77.0,1,0.5851,1
다사648283,78.0,1,0.6888,1
다사663289,22.0,0,0.602,1
다사651301,146.0,1,0.6888,1
다사652334,24.0,0,0.4211,0
다사648306,24.0,0,0.6888,1
다사670347,22.0,0,0.6888,1
